"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"157",1176819.5,1068690.5,941275.75,1297956.375,1446386.25,1237231,2015,"MORA"
"158",23288,20847.125,18289.25,25821.25,28534.75,20677,2015,"NOCA"
"159",17151,15809.875,14028.75,18809.25,21098.25,13892,2015,"NPSA"
"160",3052717.5,2744539.25,2439111.75,3400193,3754391.5,3263761,2015,"OLYM"
"161",628009.5,575228.375,493621,696100.75,784837.25,793225,2015,"PEFO"
"162",423625.5,377470.375,329392,470167,529534.25,527143,2015,"REDW"
"163",3279902.5,2959290.625,2618712.25,3628353.5,3992783.75,4155916,2015,"ROMO"
"164",652446,590887.75,528018.75,723401.5,806831,753446,2015,"SAGU"
"165",1029544.5,936756.75,844959.75,1143719,1283825.75,1097464,2015,"SEQU"
"166",1180207.5,1063587.375,949967.5,1314718.125,1434326.75,1321873,2015,"SHEN"
"167",555454,505705.875,452285.25,617373.625,697228.25,580033,2015,"THRO"
"168",417243.5,372075.5,334849.5,461951.875,513951,438372,2015,"VIIS"
"169",223988.5,200134.875,179435.5,247591.25,278463.75,238313,2015,"VOYA"
"170",524957.5,471619.875,417532.75,579485.5,654546.5,612198,2015,"WICA"
"171",70792,64613.5,57173,78090,86018.75,80366,2015,"WRST"
"172",3451501.5,3122328.875,2781882.25,3809103.5,4210968.75,4097710,2015,"YELL"
"173",4186544.5,3798121.5,3340962.5,4643064.375,5244092.25,4150217,2015,"YOSE"
"174",3387476.5,3030743.875,2753351.25,3761401.25,4256217.25,3648846,2015,"ZION"
"175",2370713,2107164.875,1834338,2635231.75,2948397,3303393,2016,"ACAD"
"176",1079754,963359.125,847967.25,1203070.375,1353763.25,1585718,2016,"ARCH"
"177",888269.5,779783.375,689476,974630.875,1099659,996263,2016,"BADL"
"178",335884,295647,256382.75,375132.375,422698,388290,2016,"BIBE"
"179",490448.5,442683.875,389183,542887.875,617551.75,514709,2016,"BISC"
"180",169066,150536.75,131300.25,187892.125,213408.25,238018,2016,"BLCA"
"181",1322569.5,1180717,1039107.75,1455030.5,1637672.5,2365110,2016,"BRCA"
"182",468916.5,421345.75,372856.25,524740.375,584465.75,776218,2016,"CANY"
"183",683614,611722.375,531742.25,784249.125,881954.5,1064904,2016,"CARE"
"184",396610.5,350391.875,311962.5,444170.5,500773.75,466773,2016,"CAVE"
"185",282611,252892.625,229715,315917,358671.5,364807,2016,"CHIS"
"186",109443,97764.75,85226.5,121444.75,135243.5,143843,2016,"CONG"
"187",457653.5,409532.75,358921,512612.5,572089,756344,2016,"CRLA"
"188",2315396.5,2083226.125,1881960.25,2573848.625,2890868.25,2423390,2016,"CUVA"
"189",425342.5,384489,339145.75,479437.75,535851.5,587412,2016,"DENA"
"190",942643,862008.5,743799.75,1045805.5,1186823.5,1296283,2016,"DEVA"
"191",56443,50185.75,43966.75,62544.125,70190,73661,2016,"DRTO"
"192",951209,848925.5,758664.75,1082905.5,1236104.75,930907,2016,"EVER"
"193",9845,8858.75,7601.75,10916.625,12433.25,10047,2016,"GAAR"
"194",2059385.5,1815074.125,1588166.75,2312645.5,2588929,2946681,2016,"GLAC"
"195",455657,401370.25,357978,504452.375,566790,520171,2016,"GLBA"
"196",90018,79914.125,70250.5,98529.125,112246.5,144846,2016,"GRBA"
"197",4230250,3749904.5,3360261.25,4799918.5,5456967.25,5969811,2016,"GRCA"
"198",263904.5,233672.375,206266.25,295366.25,325469.25,388308,2016,"GRSA"
"199",9441310.5,8462682.625,7406943.25,10443090.375,11727862.25,11312786,2016,"GRSM"
"200",2640332,2364589.875,2089662.25,2957718.875,3303978,3270076,2016,"GRTE"
"201",159159,141798.5,123277.75,174322.25,200950,181839,2016,"GUMO"
"202",1063528,946428.75,847255.75,1192649.625,1343260,1263558,2016,"HALE"
"203",1376381,1224660.125,1092152.5,1558728.875,1734611.75,1887580,2016,"HAVO"
"204",1291631,1142662.875,1012721.75,1454564,1627498,1544300,2016,"HOSP"
"205",15232.5,13560.125,11981.75,16682.375,18746.25,24966,2016,"ISRO"
"206",1452433.5,1311125.5,1153138.75,1627117.75,1830788,2505286,2016,"JOTR"
